MPI Parallel Words Count
Number of Porcesses 4 
Rank 0 (MASTER)

Number of files: 1
Total size of files: 838831.00 bytes
Single split size: 209707.000000 bytes


Global Histogram

Word: GABRIEL                  - Count: 206
Word: GARCIA                   - Count: 195
Word: MARQUES                  - Count: 194
Word: x                        - Count: 194
Word: ONE                      - Count: 801
Word: HUNDRED                  - Count: 235
Word: YEARS                    - Count: 361
Word: OF                       - Count: 5236
Word: SOLITUDE                 - Count: 240
Word: Chapter                  - Count: 20
Word: 1                        - Count: 1
Word: MANY                     - Count: 148
Word: LATER                    - Count: 138
Word: as                       - Count: 875
Word: he                       - Count: 2725
Word: faced                    - Count: 10
Word: the                      - Count: 10911
Word: firing                   - Count: 16
Word: squad                    - Count: 23
Word: Colonel                  - Count: 307
Word: Aureliano                - Count: 766
Word: Buendfa                  - Count: 44
Word: was                      - Count: 2367
Word: to                       - Count: 3681
Word: remember                 - Count: 37
Word: that                     - Count: 3171
Word: distant                  - Count: 20
Word: afternoon                - Count: 95
Word: when                     - Count: 670
Word: his                      - Count: 1884
Word: father                   - Count: 110
Word: took                     - Count: 201
Word: him                      - Count: 1127
Word: discover                 - Count: 15
Word: ice                      - Count: 22
Word: At                       - Count: 778
Word: time                     - Count: 546
Word: Macondo                  - Count: 175
Word: a                        - Count: 3184
Word: village                  - Count: 42
Word: twenty                   - Count: 27
Word: adobe                    - Count: 2
Word: houses                   - Count: 34
Word: built                    - Count: 31
Word: on                       - Count: 1158
Word: bank                     - Count: 4
Word: river                    - Count: 18
Word: clear                    - Count: 27
Word: water                    - Count: 53
Word: ran                      - Count: 14
Word: along                    - Count: 86
Word: bed                      - Count: 110
Word: polished                 - Count: 2
Word: stones                   - Count: 9
Word: which                    - Count: 422
Word: were                     - Count: 666
Word: white                    - Count: 35
Word: and                      - Count: 4195
Word: enormous                 - Count: 18
Word: like                     - Count: 252
Word: prehistoric              - Count: 4
Word: eggs                     - Count: 9
Word: world                    - Count: 107
Word: so                       - Count: 564
Word: recent                   - Count: 9
Word: things                   - Count: 84
Word: lacked                   - Count: 11
Word: names                    - Count: 21
Word: in                       - Count: 3029
Word: order                    - Count: 140
Word: indicate                 - Count: 1
Word: them                     - Count: 477
Word: it                       - Count: 1077
Word: necessary                - Count: 15
Word: point                    - Count: 32
Word: Every                    - Count: 83
Word: year                     - Count: 35
Word: during                   - Count: 166
Word: month                    - Count: 9
Word: March                    - Count: 10
Word: family                   - Count: 103
Word: ragged                   - Count: 4
Word: gypsies                  - Count: 37
Word: would                    - Count: 792
Word: set                      - Count: 75
Word: up                       - Count: 436
Word: their                    - Count: 386
Word: tents                    - Count: 1
Word: near                     - Count: 8
Word: with                     - Count: 2016
Word: great                    - Count: 53
Word: uproar                   - Count: 5
Word: pipes                    - Count: 2
Word: kettledrums              - Count: 1
Word: they                     - Count: 963
Word: display                  - Count: 3
Word: new                      - Count: 68
Word: inventions               - Count: 12
Word: First                    - Count: 226
Word: brought                  - Count: 135
Word: magnet                   - Count: 1
Word: heavy                    - Count: 10
Word: gypsy                    - Count: 24
Word: an                       - Count: 503
Word: untamed                  - Count: 2
Word: beard                    - Count: 7
Word: sparrow                  - Count: 2
