MPI Parallel Words Count
Number of Porcesses 4 
Rank 0 (MASTER)

Number of files: 100
Total size of files: 3622297.00 bytes
Single split size: 905574.000000 bytes


Global Histogram

Word: This                     - Count: 2198
Word: file                     - Count: 639
Word: is                       - Count: 4579
Word: derived                  - Count: 5
Word: from                     - Count: 1052
Word: httpwwwclcamacukmgk25ucsexamplesUTF8testtxt- Count: 1
Word: Which                    - Count: 621
Word: was                      - Count: 650
Word: created                  - Count: 74
Word: by                       - Count: 1294
Word: Markus                   - Count: 1
Word: Kuhn                     - Count: 1
Word: mkuhnacmorg              - Count: 1
Word: 20000902                 - Count: 1
Word: lines                    - Count: 47
Word: begining                 - Count: 3
Word: with                     - Count: 1255
Word: and                      - Count: 3972
Word: blank                    - Count: 10
Word: are                      - Count: 1502
Word: ignored                  - Count: 31
Word: Beyond                   - Count: 19
Word: that                     - Count: 2124
Word: consists                 - Count: 16
Word: of                       - Count: 4925
Word: a                        - Count: 5303
Word: series                   - Count: 31
Word: test                     - Count: 72
Word: cases                    - Count: 36
Word: Each                     - Count: 295
Word: case                     - Count: 111
Word: 2                        - Count: 824
Word: or                       - Count: 1035
Word: 3                        - Count: 729
Word: 1                        - Count: 1084
Word: UTF8                     - Count: 7
Word: string                   - Count: 227
Word: status                   - Count: 32
Word: VALID                    - Count: 52
Word: The                      - Count: 13622
Word: representation           - Count: 37
Word: Unicode                  - Count: 4
Word: INCOMPLETE               - Count: 19
Word: has                      - Count: 566
Word: partial                  - Count: 33
Word: character                - Count: 32
Word: at                       - Count: 844
Word: end                      - Count: 168
Word: NOTUNICODE               - Count: 10
Word: but                      - Count: 674
Word: characters               - Count: 65
Word: represented              - Count: 30
Word: not                      - Count: 912
Word: OVERLONG                 - Count: 2
Word: includes                 - Count: 44
Word: sequences                - Count: 12
Word: MALFORMED                - Count: 17
Word: If                       - Count: 1263
Word: UCS4                     - Count: 1
Word: as                       - Count: 1495
Word: hex                      - Count: 17
Word: numbers                  - Count: 101
Word: Some                     - Count: 343
Word: correct                  - Count: 57
Word: text                     - Count: 153
Word: 03ba                     - Count: 1
Word: 1f79                     - Count: 1
Word: 03c3                     - Count: 1
Word: 03bc                     - Count: 1
Word: 03b5                     - Count: 1
Word: 21                       - Count: 464
Word: First                    - Count: 281
Word: possible                 - Count: 101
Word: sequence                 - Count: 47
Word: certain                  - Count: 51
Word: length                   - Count: 199
Word: FIXME                    - Count: 1
Word: handle                   - Count: 27
Word: NULLS                    - Count: 1
Word: NULL                     - Count: 221
Word: BYTE                     - Count: 125
Word: 0000                     - Count: 27
Word: 0080                     - Count: 1
Word: 0800                     - Count: 1
Word: 00010000                 - Count: 1
Word: 00200000                 - Count: 1
Word: 04000000                 - Count: 1
Word: 0000007f                 - Count: 1
Word: 000007ff                 - Count: 1
Word: 0000ffff                 - Count: 1
Word: 001fffff                 - Count: 1
Word: 03ffffff                 - Count: 1
Word: 7fffffff                 - Count: 1
Word: 23                       - Count: 434
Word: Other                    - Count: 310
Word: boundary                 - Count: 9
Word: conditions               - Count: 17
Word: d7ff                     - Count: 1
Word: e000                     - Count: 1
Word: fffd                     - Count: 1
Word: 0010fffd                 - Count: 1
